scenario,id,cycle,RUL,s2,s7,s11,s15
FD001,1,1,191,0.18373493975903443,0.72624798711756,0.3690476190476204,0.36398614851866284
FD001,1,2,190,0.2831325301204686,0.628019323671495,0.38095238095238315,0.41131204309350267
FD001,1,3,189,0.34337349397591765,0.7101449275362341,0.25000000000000355,0.35744517121970176
FD001,1,4,188,0.34337349397591765,0.7407407407407476,0.16666666666666785,0.16660253943824443
FD001,1,5,187,0.34939759036143414,0.6682769726247955,0.25595238095238315,0.40207772220084337
FD001,1,6,186,0.2680722891566347,0.7761674718196474,0.18452380952380665,0.33051173528280486
FD001,1,7,185,0.38253012048193114,0.7230273752012977,0.3035714285714306,0.2789534436321688
FD001,1,8,184,0.40662650602408235,0.6441223832528209,0.23214285714285765,0.3181993074259353
FD001,1,9,183,0.27409638554217963,0.6183574879227081,0.26190476190476275,0.18430165448249625
FD001,1,10,182,0.15060240963856586,0.6022544283413964,0.10714285714285765,0.39899961523662597
FD001,1,11,181,0.32228915662648205,0.755233494363921,0.17857142857142705,0.4197768372450952
FD001,1,12,180,0.2560240963855165,0.7520128824476586,0.19642857142857295,0.26510196229319405
FD001,1,13,179,0.5602409638554491,0.5780998389694076,0.31547619047619335,0.347441323585997
FD001,1,14,178,0.34337349397591765,0.7455716586151482,0.3511904761904745,0.2751058099268988
FD001,1,15,177,0.36746987951806886,0.6103059581320451,0.26785714285714235,0.3655252020007751
FD001,1,16,176,0.27710843373492366,0.6586151368760227,0.23214285714285765,0.26433243555213437
FD001,1,17,175,0.4126506024096557,0.6360708534621438,0.1607142857142847,0.4974990380915756
FD001,1,18,174,0.42469879518071707,0.7004830917874472,0.2142857142857153,0.2997306656406309
FD001,1,19,173,0.17469879518071707,0.6972624798711706,0.32738095238095255,0.4124663332050815
FD001,1,20,172,0.5512048192771033,0.7987117552334837,0.2202380952380949,0.36975759907656425
FD001,1,21,171,0.34939759036143414,0.681159420289859,0.17857142857142705,0.3078106964217042
FD001,1,22,170,0.46987951807227546,0.6086956521739069,0.23214285714285765,0.3020392458637957
FD001,1,23,169,0.2801204819276961,0.6650563607085331,0.23809523809523725,0.38130050019238126
FD001,1,24,168,0.3524096385542066,0.5861513687600706,0.3511904761904745,0.24701808387841595
FD001,1,25,167,0.46987951807227546,0.6682769726247955,0.3035714285714306,0.2570219315121207
FD001,1,26,166,0.286144578313241,0.6859903381642596,0.24404761904761685,0.3889957676029283
FD001,1,27,165,0.37048192771086974,0.6795491143317349,0.3095238095238102,0.30665640631012536
FD001,1,28,164,0.34337349397591765,0.7777777777777715,0.33333333333333215,0.4132358599461341
FD001,1,29,163,0.2108433734939581,0.7085346215780959,0.23214285714285765,0.3616775682955051
FD001,1,30,162,0.29819277108435926,0.7278582930756841,0.32738095238095255,0.3139669103501319
FD001,1,31,161,0.2439759036144551,0.6892109500805219,0.33333333333333215,0.3289726818006926
FD001,1,32,160,0.33734939759037275,0.8228663446054867,0.23809523809523725,0.34590227010388475
FD001,1,33,159,0.45180722891566916,0.7665056360708604,0.25595238095238315,0.19392073874566762
FD001,1,34,158,0.40060240963853744,0.7165861513687588,0.3690476190476204,0.42323970757984597
FD001,1,35,157,0.37048192771086974,0.7165861513687588,0.2738095238095255,0.4544055405925391
FD001,1,36,156,0.40060240963853744,0.7536231884057969,0.23809523809523725,0.3836090804155461
FD001,1,37,155,0.23493975903613773,0.7697262479871227,0.26190476190476275,0.3435936898807199
FD001,1,38,154,0.216867469879503,0.780998389694048,0.25000000000000355,0.3497499038091618
FD001,1,39,153,0.24096385542168264,0.6634460547504091,0.1607142857142847,0.34282416313966735
FD001,1,40,152,0.31024096385542066,0.7600644122383358,0.2857142857142847,0.20584840323201092
FD001,1,41,151,0.3584337349397515,0.6231884057971087,0.1428571428571459,0.4313197383609051
FD001,1,42,150,0.27409638554217963,0.6586151368760227,0.38095238095238315,0.3416698730280885
FD001,1,43,149,0.31024096385542066,0.6167471819645698,0.2797619047619051,0.3151212004617179
FD001,1,44,148,0.216867469879503,0.69243156199677,0.3571428571428612,0.36629472874182767
FD001,1,45,147,0.397590361445765,0.6409017713365586,0.3571428571428612,0.3270488649480612
FD001,1,46,146,0.36746987951806886,0.6296296296296333,0.2083333333333357,0.28010773374374764
FD001,1,47,145,0.3012048192771033,0.7294685990338223,0.2202380952380949,0.2785686802616425
FD001,1,48,144,0.2048192771084132,0.6714975845410578,0.32738095238095255,0.4336283185840699
FD001,1,49,143,0.3072289156626482,0.7053140096618336,0.2202380952380949,0.3470565602154707
FD001,1,50,142,0.46987951807227546,0.6553945249597319,0.3690476190476204,0.33358984224702226
FD001,1,51,141,0.4819277108433653,0.6247987117552327,0.1607142857142847,0.4828780300115483
FD001,1,52,140,0.466867469879503,0.5136876006441184,0.13095238095238315,0.4963447479799967
FD001,1,53,139,0.4216867469879446,0.6940418679549083,0.26190476190476275,0.4497883801462166
FD001,1,54,138,0.3644578313252964,0.6602254428341467,0.31547619047619335,0.3616775682955051
FD001,1,55,137,0.36144578313252396,0.7407407407407476,0.32738095238095255,0.31627549057329674
FD001,1,56,136,0.3855421686747036,0.6650563607085331,0.24404761904761685,0.29742208541747317
FD001,1,57,135,0.27710843373492366,0.5748792270531311,0.26190476190476275,0.39015005771450717
FD001,1,58,134,0.20783132530118564,0.690821256038646,0.24404761904761685,0.41169680646402895
FD001,1,59,133,0.33734939759037275,0.7681159420289845,0.24404761904761685,0.47210465563678383
FD001,1,60,132,0.3403614457831452,0.6682769726247955,0.33333333333333215,0.24201616006156712
FD001,1,61,131,0.2680722891566347,0.6827697262479973,0.2738095238095255,0.39053482108503346
FD001,1,62,130,0.2891566265060135,0.7407407407407476,0.25595238095238315,0.31627549057329674
FD001,1,63,129,0.41867469879517216,0.5845410628019323,0.39285714285714235,0.42631781454405626
FD001,1,64,128,0.3072289156626482,0.6489533011272073,0.3571428571428612,0.3143516737206582
FD001,1,65,127,0.32228915662648205,0.6634460547504091,0.422619047619051,0.44517121969988693
FD001,1,66,126,0.38855421686747604,0.6682769726247955,0.17261904761904745,0.2547133512889559
FD001,1,67,125,0.33734939759037275,0.7181964573268829,0.32142857142857295,0.2601000384763381
FD001,1,68,124,0.3915662650602485,0.6747181964573201,0.3035714285714306,0.38207002693344094
FD001,1,69,123,0.37048192771086974,0.7729468599033851,0.33333333333333215,0.4013081954597908
FD001,1,70,122,0.30421686746987575,0.6698872785829337,0.33333333333333215,0.39630627164294197
FD001,1,71,121,0.3012048192771033,0.6779388083735824,0.26785714285714235,0.3774528664871113
FD001,1,72,120,0.36144578313252396,0.6296296296296333,0.25000000000000355,0.2701038861100429
FD001,1,73,119,0.3253012048192545,0.6489533011272073,0.26190476190476275,0.30434782608696054
FD001,1,74,118,0.5271084337349521,0.6731078904991961,0.4345238095238102,0.3409003462870359
